K,date,tickers,weight method 1,weight method 2
11,2006-10-06,T,0.044712405634022095,0.08290062379956312
11,2006-10-06,TGT,0.017438758634783027,0.15449308666961442
11,2006-10-06,UPS,0.019351739785720773,0.00017165371421253082
11,2006-10-06,WBA,0.03642498453366552,2.612460740039743e-06
11,2006-10-06,XOM,0.0752354484327451,0.17255154621523153
11,2007-01-05,AMZN,0.07431040234248593,0.04048936402514307
11,2007-01-05,CMCSA,0.04578856111207941,0.249863017395136
11,2007-01-05,CVX,0.083143630181252,0.11588923071321175
11,2007-01-05,FDX,0.02699764296122342,1.2846467900951225e-05
11,2007-01-05,GOOGL,0.18698505785787176,0.2046841149602552
11,2007-01-05,HD,0.028015595922295716,0.07886253697996702
11,2007-01-05,HON,0.09753321273341535,0.18905548257861854
11,2007-01-05,JNJ,0.11224731453145816,6.612549837206453e-05
11,2007-01-05,MS,0.23415646491333547,0.0101498085923883
11,2007-01-05,QCOM,0.0935738669483687,4.758639741510621e-05
11,2007-01-05,SO,0.017248250496214132,0.11087988639159202
11,2007-04-05,AMGN,0.01936148078345087,
11,2007-04-05,EMR,0.11186686676960919,
11,2007-04-05,GD,0.03616614636655253,
11,2007-04-05,INTC,0.1442471977095522,
11,2007-04-05,LLY,0.09736347001507058,
11,2007-04-05,MDLZ,0.005944238661205899,
11,2007-04-05,MS,0.25287959324916354,
11,2007-04-05,SO,0.06587783569164098,
11,2007-04-05,TGT,0.1054419537747128,
11,2007-04-05,WFC,0.08537325448047445,
11,2007-04-05,XOM,0.07547796249856699,
11,2007-07-06,AAPL,0.08091681228935606,0.11935353484788691
11,2007-07-06,EMR,0.04937727792664209,0.058983599197953936
11,2007-07-06,GOOGL,0.06902756821019138,0.08063063471525167
11,2007-07-06,HON,0.06038697997460962,0.09712931938093325
11,2007-07-06,JNJ,0.09440079030056206,0.16905574820098362
11,2007-07-06,JPM,0.1502968151257373,0.08706238302525447
11,2007-07-06,LIN,0.035325885663161354,0.1522303634184056
11,2007-07-06,MDLZ,0.018639213979426063,0.025663368370571385
11,2007-07-06,ORCL,0.22688312659013055,0.11765979761293154
11,2007-07-06,SO,0.18357948476025357,0.0635981744296142
11,2007-07-06,TGT,0.03116604517992981,0.02863307680021424
11,2007-10-05,BA,0.035893826269913026,0.10100572060390167
11,2007-10-05,BIIB,0.0046156320948940194,0.07847224277882041
11,2007-10-05,C,0.26795102936136295,0.05935602312348119
11,2007-10-05,CSCO,0.04992399711237639,0.15847789894996023
11,2007-10-05,CVS,0.015063772123943985,0.03187809451567789
11,2007-10-05,EMR,0.14317140788541122,0.15534868069744687
11,2007-10-05,GE,0.25779669442472813,0.2584986274014811
11,2007-10-05,LOW,0.046901779553520644,0.04843321771421284
11,2007-10-05,NFLX,0.0005749487470749116,0.03611328048660059
11,2007-10-05,SO,0.05227531527036329,0.07241183320960827
11,2007-10-05,XOM,0.12583159715641146,4.380518843810806e-06
11,2008-01-07,AAPL,0.19662725042105356,0.19149311486800977
11,2008-01-07,BAC,0.22412552825900509,0.17915149842037886
11,2008-01-07,BIIB,0.005244015471751872,0.013778632725006481
11,2008-01-07,BKNG,0.002031492532112243,0.015690567431230432
11,2008-01-07,CVS,0.01445727950294409,0.1293775577274012
11,2008-01-07,CVX,0.09533286168839827,0.06983646669072062
