K,date,tickers,weight
11,2007-01-05,CMCSA,0.249863017395136
11,2007-01-05,CVX,0.11588923071321175
11,2007-01-05,FDX,1.2846467900951225e-05
11,2007-01-05,GOOGL,0.2046841149602552
11,2007-01-05,HD,0.07886253697996702
11,2007-01-05,HON,0.18905548257861854
11,2007-01-05,JNJ,6.612549837206453e-05
11,2007-01-05,MS,0.0101498085923883
11,2007-01-05,QCOM,4.758639741510621e-05
11,2007-01-05,SO,0.11087988639159202
11,2007-07-06,AAPL,0.11935353484788691
11,2007-07-06,EMR,0.058983599197953936
11,2007-07-06,GOOGL,0.08063063471525167
11,2007-07-06,HON,0.09712931938093325
11,2007-07-06,JNJ,0.16905574820098362
11,2007-07-06,JPM,0.08706238302525447
11,2007-07-06,LIN,0.1522303634184056
11,2007-07-06,MDLZ,0.025663368370571385
11,2007-07-06,ORCL,0.11765979761293154
11,2007-07-06,SO,0.0635981744296142
11,2007-07-06,TGT,0.02863307680021424
11,2007-10-05,BA,0.10100572060390167
11,2007-10-05,BIIB,0.07847224277882041
11,2007-10-05,C,0.05935602312348119
11,2007-10-05,CSCO,0.15847789894996023
11,2007-10-05,CVS,0.03187809451567789
11,2007-10-05,EMR,0.15534868069744687
11,2007-10-05,GE,0.2584986274014811
11,2007-10-05,LOW,0.04843321771421284
11,2007-10-05,NFLX,0.03611328048660059
11,2007-10-05,SO,0.07241183320960827
11,2007-10-05,XOM,4.380518843810806e-06
11,2008-01-07,AAPL,0.19149311486800977
11,2008-01-07,BAC,0.17915149842037886
11,2008-01-07,BIIB,0.013778632725006481
11,2008-01-07,BKNG,0.015690567431230432
11,2008-01-07,CVS,0.1293775577274012
11,2008-01-07,CVX,0.06983646669072062
11,2008-01-07,DUK,0.11237503996207432
11,2008-01-07,LIN,0.06527203989833529
11,2008-01-07,MET,0.07613605943152112
11,2008-01-07,ORCL,0.10363091039778718
11,2008-01-07,SPG,0.04325811244753757
11,2008-04-07,AMGN,4.654121703288543e-09
11,2008-04-07,AMZN,5.9000244303151845e-09
11,2008-04-07,BAC,0.4405549604739608
