,,weight
2013-07-08,GILD,0.029953034470087386
2013-07-08,GOOGL,0.09089459073290895
2013-07-08,SO,0.05749926493272645
2013-07-08,TSLA,0.024606743710621586
2013-07-08,TXN,0.1681602579994026
2013-07-08,XOM,0.08489916033650134
2013-10-07,AAPL,0.12048186647815119
2013-10-07,AIG,0.12457337049152066
2013-10-07,CL,0.11566676431984782
2013-10-07,GD,0.04973662379989543
2013-10-07,GILD,0.03544717672215688
2013-10-07,GOOG,0.11046511087400876
2013-10-07,MMM,0.18489777338662738
2013-10-07,MS,0.14361379370034322
2013-10-07,SO,0.07293061135569628
2013-10-07,T,0.04218690887175244
2014-01-07,BKNG,0.2039444817218086
2014-01-07,BLK,0.12232578923243152
2014-01-07,CL,0.09766541859646047
2014-01-07,GD,0.14181469225752674
2014-01-07,GOOGL,0.06310152157520568
2014-01-07,LOW,0.01516912063521585
2014-01-07,ORCL,0.04839964588466325
2014-01-07,TSLA,0.025971993021733152
2014-01-07,UNH,0.036901184356552964
2014-01-07,WFC,0.2447061527184015
2014-04-07,BLK,0.27150302494097117
2014-04-07,CL,0.03969950781312425
2014-04-07,DHR,0.12642899679562808
2014-04-07,GILD,0.03286232632242782
2014-04-07,GOOG,0.20657523288977903
2014-04-07,HON,0.0916881268445029
2014-04-07,LOW,0.018948194494777113
2014-04-07,MET,0.13803591955827213
2014-04-07,SO,0.012749542742693317
2014-04-07,VZ,0.0615091275978242
2014-07-07,BLK,0.16717174715177552
2014-07-07,CL,0.04448078927443466
2014-07-07,CVX,0.05909255211319079
2014-07-07,DUK,0.019417719276968226
2014-07-07,FB,0.18495257908914817
2014-07-07,HD,0.13011467677501518
2014-07-07,HON,0.21500957806503634
2014-07-07,MA,0.12141089947802183
2014-07-07,T,0.032903644204661874
2014-07-07,WMT,0.025445814571747275
2014-10-07,AXP,0.2521779112279061
2014-10-07,GOOGL,0.19917587709074988
2014-10-07,LOW,0.0349493744426153
2014-10-07,MMM,0.22083002238619165
2014-10-07,PM,0.04140771882848516
